system,topic,score
Champion,t_336,0.5811
Champion,t_341,0.3095
Champion,t_347,0.0605
Champion,t_350,0.007
Champion,t_362,0.2058
Champion,t_363,0.261
Champion,t_367,0.077
Champion,t_375,0.4536
Champion,t_378,0.0915
Champion,t_393,0.0257
Champion,t_397,0.1082
Champion,t_400,0.1229
Champion,t_408,0.0536
Champion,t_414,0.174
Champion,t_422,0.215
Champion,t_426,0.1803
Champion,t_427,0.0412
Champion,t_433,0.0802
Champion,t_439,0.0199
Champion,t_442,0.0486
Champion,t_445,0.246
Champion,t_626,0.3232
Champion,t_646,0.1355
Champion,t_690,0.0075
Champion,t_801,0.1079
Champion,t_802,0.6163
Champion,t_803,0.2705
Champion,t_804,0.0848
Champion,t_805,0.183
Champion,t_806,0.4696
Champion,t_807,0.8644
Champion,t_808,0.1991
Champion,t_809,0.5477
Champion,t_810,0.2638
Champion,t_811,0.6091
Champion,t_812,0.2578
Champion,t_813,0.0733
Champion,t_814,0
Champion,t_815,0.2857
Champion,t_816,0.141
Champion,t_817,0.4008
Champion,t_818,0.4527
Champion,t_819,0.0564
Champion,t_820,0.1821
Champion,t_821,0.1862
Champion,t_822,0.2443
Champion,t_823,0.3372
Champion,t_824,0.398
Champion,t_825,0.5342
input.anserini_ax,t_321,0.159
input.anserini_ax,t_336,0.2095
input.anserini_ax,t_341,0.3724
input.anserini_ax,t_347,0.0699
input.anserini_ax,t_350,1e-04
input.anserini_ax,t_362,0.2861
input.anserini_ax,t_363,0.6773
input.anserini_ax,t_367,0.1228
input.anserini_ax,t_375,0.5586
input.anserini_ax,t_378,0.1557
input.anserini_ax,t_393,0.0065
input.anserini_ax,t_397,0.4104
input.anserini_ax,t_400,0.202
input.anserini_ax,t_408,0.0838
input.anserini_ax,t_414,0.009
input.anserini_ax,t_422,0.1835
input.anserini_ax,t_426,0.2814
input.anserini_ax,t_427,0.0257
input.anserini_ax,t_433,0.0911
input.anserini_ax,t_439,0.0372
input.anserini_ax,t_442,0.1041
input.anserini_ax,t_445,0.165
input.anserini_ax,t_626,0.4942
input.anserini_ax,t_646,0.0918
input.anserini_ax,t_690,0.0132
input.anserini_ax,t_801,0.1587
input.anserini_ax,t_802,0.2557
input.anserini_ax,t_803,0.3089
input.anserini_ax,t_804,0.2079
input.anserini_ax,t_805,0.0908
input.anserini_ax,t_806,0.6539
