system,topic,score
Chal. 1,t_307,0.3518
Chal. 1,t_310,0.3088
Chal. 1,t_321,0.2231
Chal. 1,t_325,0.4184
Chal. 1,t_330,0.0892
Chal. 1,t_336,0.6349
Chal. 1,t_341,0.0959
Chal. 1,t_344,0.0065
Chal. 1,t_345,0.4161
Chal. 1,t_347,0.0802
Chal. 1,t_350,0.345
Chal. 1,t_353,0.2904
Chal. 1,t_354,0.125
Chal. 1,t_355,0.1002
Chal. 1,t_356,0.0532
Chal. 1,t_362,0.5371
Chal. 1,t_363,0.0477
Chal. 1,t_367,0.0075
Chal. 1,t_372,0.5228
Chal. 1,t_375,0.5354
Chal. 1,t_378,0.4048
Chal. 1,t_379,0.0301
Chal. 1,t_389,0.1611
Chal. 1,t_393,0.1588
Chal. 1,t_394,0.5214
Chal. 1,t_397,0.2099
Chal. 1,t_399,0.3275
Chal. 1,t_400,0.3051
Chal. 1,t_404,0.1562
Chal. 1,t_408,0.1405
Chal. 1,t_414,0.4502
Chal. 1,t_416,0.655
Chal. 1,t_419,0.4097
Chal. 1,t_422,0.4802
Chal. 1,t_423,0.8443
Chal. 1,t_426,0.0119
Chal. 1,t_427,0.1737
Chal. 1,t_433,0.1815
Chal. 1,t_435,0.0232
Chal. 1,t_436,0.3599
Chal. 1,t_439,0.0111
Chal. 1,t_442,0.0041
Chal. 1,t_443,0.1868
Chal. 1,t_445,0.0759
Chal. 1,t_614,0.8177
Chal. 1,t_620,0.793
Chal. 1,t_626,0.0551
Chal. 1,t_646,0.6068
Chal. 1,t_677,0.7094
Chal. 1,t_690,0.0134
Chal. 2,t_307,0.371
Chal. 2,t_310,0.3049
Chal. 2,t_321,0.2244
Chal. 2,t_325,0.4181
Chal. 2,t_330,0.1014
Chal. 2,t_336,0.6367
Chal. 2,t_341,0.0969
Chal. 2,t_344,0.0063
Chal. 2,t_345,0.4345
Chal. 2,t_347,0.08
Chal. 2,t_350,0.3305
Chal. 2,t_353,0.29
Chal. 2,t_354,0.1247
Chal. 2,t_355,0.101
Chal. 2,t_356,0.053
Chal. 2,t_362,0.5648
Chal. 2,t_363,0.048
Chal. 2,t_367,0.0076
Chal. 2,t_372,0.4892
Chal. 2,t_375,0.5347
Chal. 2,t_378,0.4047
Chal. 2,t_379,0.0303
Chal. 2,t_389,0.1615
Chal. 2,t_393,0.1592
Chal. 2,t_394,0.5257
Chal. 2,t_397,0.2137
Chal. 2,t_399,0.3273
Chal. 2,t_400,0.3295
Chal. 2,t_404,0.1758
Chal. 2,t_408,0.1401
Chal. 2,t_414,0.4491
Chal. 2,t_416,0.6575
Chal. 2,t_419,0.405
Chal. 2,t_422,0.4779
Chal. 2,t_423,0.8477
Chal. 2,t_426,0.0123
Chal. 2,t_427,0.1745
Chal. 2,t_433,0.1839
Chal. 2,t_435,0.0242
Chal. 2,t_436,0.3526
Chal. 2,t_439,0.0112
Chal. 2,t_442,0.0042
Chal. 2,t_443,0.1747
Chal. 2,t_445,0.0764
Chal. 2,t_614,0.819
Chal. 2,t_620,0.7881
Chal. 2,t_626,0.0548
Chal. 2,t_646,0.603
Chal. 2,t_677,0.7068
Chal. 2,t_690,0.0151
Chal. 3,t_307,0.3063
Chal. 3,t_310,0.1564
Chal. 3,t_321,0.1927
Chal. 3,t_325,0.2394
Chal. 3,t_330,0.0772
Chal. 3,t_336,0.5619
Chal. 3,t_341,0.0676
Chal. 3,t_344,0.0062
Chal. 3,t_345,0.2475
Chal. 3,t_347,0.1001
Chal. 3,t_350,0.1674
Chal. 3,t_353,0.2019
Chal. 3,t_354,0.0931
Chal. 3,t_355,0.018
Chal. 3,t_356,0.1683
Chal. 3,t_362,0.3258
Chal. 3,t_363,0.0373
Chal. 3,t_367,0.0126
Chal. 3,t_372,0.0851
Chal. 3,t_375,0.4421
Chal. 3,t_378,0.2088
Chal. 3,t_379,0.011
Chal. 3,t_389,0.0766
Chal. 3,t_393,0.0541
Chal. 3,t_394,0.518
Chal. 3,t_397,0.1217
Chal. 3,t_399,0.1852
Chal. 3,t_400,0.2378
Chal. 3,t_404,0.1379
Chal. 3,t_408,0.1007
Chal. 3,t_414,0.3929
Chal. 3,t_416,0.4645
Chal. 3,t_419,0.3111
Chal. 3,t_422,0.3437
Chal. 3,t_423,0.881
Chal. 3,t_426,0.0206
Chal. 3,t_427,0.1053
Chal. 3,t_433,0.1181
Chal. 3,t_435,0.0112
Chal. 3,t_436,0.1108
Chal. 3,t_439,0.0079
Chal. 3,t_442,0.008
Chal. 3,t_443,0.1735
Chal. 3,t_445,0.0455
Chal. 3,t_614,0.4561
Chal. 3,t_620,0.7061
Chal. 3,t_626,0.2097
Chal. 3,t_646,0.527
Chal. 3,t_677,0.7286
Chal. 3,t_690,0.0136
Chal. 4,t_307,0.4892
Chal. 4,t_310,0.6949
Chal. 4,t_321,0.5886
Chal. 4,t_325,0.7767
Chal. 4,t_330,0.4696
Chal. 4,t_336,0.5525
Chal. 4,t_341,0.4293
Chal. 4,t_344,0.4084
Chal. 4,t_345,0.5502
Chal. 4,t_347,0.5226
Chal. 4,t_350,0.8094
Chal. 4,t_353,0.6094
